KEY,Deutsch,English,TraditionalChinese,Polish
IntroductionTitle,Einführung,Introduction,說明,Wstęp
IntroductionContent,"Um die gewünschte Zeit einzustellen, sollte der Benutzer die Zeiger vorsichtig bewegen. \n\nDie richtige Uhrzeit in der herkömmlichen Sprechweise wird dann oben angezeigt.\n\nHinweis:\n\nDiese App sollte am besten als Erganzung im Rahmen eines Deutschunterrichtes benutzt werden.\n\nSie hilft dir dabei die Uhrzeiten auf Deutsch zu lernen.","The user should rotate the clockhand carefully in order to let it show the desired time.\n\nThe right traditional time description will be shown in the top. \n\nAdvice: \n\nThis app is best used as an addition in a real german class or tutoring. \n\nIt provides you an assistance to properly practice the traditional german clock system.","請調整指針，時間會顯示在上面。建議：使用這個軟體搭配德文課程學習傳統的時間念法。","Ustaw zegarek tak aby wskazywał wymaganą godzinę.\n\nU góry znajdują się na tradycyjne okreslniki czasu.\n\nRekomendacja:\n\nUżywaj aplikacji w kursie językowym."
Dreiviertel,Dreiviertel,A quarter to,四十五分,trzy kwartały
Viertel,Viertel,A quarter,十五分,kwartał
nach,nach,past,之後,po
vor,vor,before,之前,do
Halb,Halb,Half past,半,wpół do (HR)
halb,halb,half,半,wpół do (HR)
Uhr,Uhr,o'clock,點,(HR) godzina
minute,Minute,Minute,Minute,minuta
minutes,Minutes,Minutes,Minutes,minuty
to,,to,差,za (MN) (HR)
Mitternacht,Mitternacht oder Mittag,Midnight or Noon,午夜 或 中午,o północy albo w południe
SubTitle,Eine App für den Deutschunterricht,A language tutoring App.,德文學習App.,Aplikacja do nauki języków.
PressContinue,Wählen Sie das Thema,Choose the topic to enter,請選擇主題進入,Wybierz temat aby zacząć
Reset,Uhr zurücksetzen,Reset the clock,重置時鐘,Wyzeruj zegar
0,Null,zero,零,zero
1,Ein,one,一,jeden
2,Zwei,two,二,dwa
h2,,,兩,
3,Drei,three,三,trzy
4,Vier,four,四,cztery
5,Fünf,five,五,pięć
6,Sechs,six,六,sześć
7,Sieben,seven,七,siedem
8,Acht,eight,八,osiem
9,Neun,nine,九,dziewięć
10,Zehn,ten,十,dziesięć
11,Elf,eleven,十一,jedenaście
12,Zwölf,twelve,十二,dwanaście
13,Dreizehn,thirteen,十三,trzynaście
14,Vierzehn,fourteen,十四,czternaście
15,Fünfzehn,fifteen,十五,piętnaście
16,Sechzehn,sixteen,十六,szesnaście
17,Siebzehn,seventeen,十七,siedemnaście
18,Achtzehn,eighteen,十八,osiemnaście
19,Neunzehn,nineteen,十九,dziewiętnaście
20,Zwanzig,twenty,二十,dwadzieścia
30,Dreißig,thirty,三十,trzydzieści
40,Vierzig,forty,四十,czterdzieśc
50,Fünfzig,fifty,五十,pięćdziesiąt
0rd,0rd,0rd,0rd,zero
1rd,1rd,1rd,1rd,pierwsza
2rd,2rd,2rd,2rd,druga
3rd,3rd,3rd,3rd,trzecia
4rd,4rd,4rd,4rd,czwarta
5rd,5rd,5rd,5rd,piąta
6rd,6rd,6rd,6rd,szósty
7rd,7rd,7rd,7rd,siódma
8rd,8rd,8rd,8rd,ósma
9rd,9rd,9rd,9rd,dziewiąta
10rd,10rd,10rd,10rd,dziesiąta
11rd,11rd,11rd,11rd,jedenasta
12rd,12rd,12rd,12rd,dwunasta
13rd,13rd,13rd,13rd,trzynasta
14rd,14rd,14rd,14rd,czternasta
15rd,15rd,15rd,15rd,piętnasta
16rd,16rd,16rd,16rd,szesnasta
17rd,17rd,17rd,17rd,siedemnasta
18rd,18rd,18rd,18rd,osiemnasta
19rd,19rd,19rd,19rd,dziewiętnasta
20rd,20rd,20rd,20rd,dwudziesta
21rd,21rd,21rd,21rd,dwudziesta pierwsza
22rd,22rd,22rd,22rd,dwudziesta druga
23rd,23rd,23rd,23rd,dwudziesta trzecia
